,MovieCode,MovieName,CompanyName,BestScreenNum,BestScreenNum_sh,BestShare,TotalScreenNum,TotalAudienceNum
0,20150976,신과함께-죄와 벌,"롯데쇼핑㈜롯데엔터테인먼트  Lotte shopping Lotte Entertainment Co.,Ltd",1644,0.3215,0.3215,34693,14401320
1,20170590,1987,씨제이이앤엠(주)  CJ ENM Corp.,1122,0.2015,0.2322,28978,7201219
2,20170402,강철비,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,602,0.1177,0.123,6047,4445402
3,20179462,위대한 쇼맨,이십세기폭스코리아(주)  20th Century Fox Korea,444,0.0941,0.0941,6885,1384212
4,20174965,극장판 포켓몬스터 너로 정했다!,(주)이수C&E  ,417,0.0816,0.0816,1914,504883
5,20176082,몬스터 패밀리,씨네그루(주)키다리이엔티  KIDARI ENT,342,0.0669,0.0669,738,384279
6,20176947,원더,CGV아트하우스  CGV ARTHOUSE,183,0.0358,0.0367,2388,212657
7,20174846,뽀로로 극장판 공룡섬 대모험,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,195,0.0381,0.0381,955,815050
8,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,(주)박수엔터테인먼트  Boxoo Entertainment  ,166,0.0325,0.0325,314,45695
9,20170443,스타워즈: 라스트 제다이,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,37,0.0078,0.0078,72,952759
10,20171909,쥬만지: 새로운 세계,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,791,0.155,0.1563,12230,1699721
11,20177104,페르디난드,이십세기폭스코리아(주)  20th Century Fox Korea,698,0.1353,0.1353,6813,512182
12,20161872,너의 이름은.,메가박스중앙(주)플러스엠  Megabox Plus M,121,0.0244,0.0244,550,3708926
13,20179985,코코,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,1177,0.2113,0.2113,31061,3501751
14,20176104,그것만이 내 세상,씨제이이앤엠(주)  CJ ENM Corp.,956,0.1641,0.1827,25109,3388251
15,20173547,다운사이징,"롯데쇼핑㈜롯데엔터테인먼트  Lotte shopping Lotte Entertainment Co.,Ltd",511,0.1005,0.1005,2846,144691
16,20177602,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,390,0.0767,0.0767,1426,22051
17,20179286,하이큐!! 콘셉트의 싸움,(주)팝엔터테인먼트  Pop Entertainment,97,0.0191,0.0191,97,3869
18,20175054,메이즈 러너: 데스 큐어,이십세기폭스코리아(주)  20th Century Fox Korea,1090,0.2184,0.2184,17193,2296713
19,20178228,다키스트 아워,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,217,0.0458,0.0458,217,2902
20,20189525,젝스키스 에이틴,씨제이 씨지브이(CJ CGV)(주)  CJ CGV,25,0.0053,0.0053,121,23053
21,20178808,주문은 토끼입니까?? ~디어 마이 시스터~,(주)애니플러스  ANIPLUS,79,0.0166,0.0166,79,6659
22,20173662,리틀 뱀파이어,(주)이수C&E  ,213,0.0428,0.0428,1186,20555
23,20178230,커뮤터,메가박스중앙(주)플러스엠  Megabox Plus M,575,0.0984,0.1142,4048,264304
24,20168161,1급기밀,(주)리틀빅픽쳐스  Little Big Pictures,512,0.0879,0.0963,3527,200100
25,20177473,비밥바룰라,씨네그루(주)키다리이엔티  KIDARI ENT,347,0.0717,0.0717,2226,41206
26,20178444,극장판 레이디버그: 미라클스톤의 비밀,(주)삼지애니메이션  SAMG Animation,305,0.0524,0.0534,1144,26133
27,20179205,조선명탐정: 흡혈괴마의 비밀,(주)쇼박스  Showbox Corp,1249,0.2395,0.2496,17313,2427333
28,20168323,염력,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,1099,0.2182,0.2191,10362,985314
